parcel_id,twi,hand,twi_n,hand_n
6319499,7.905,5.237,0.2623,0.7876
6319511,6.832,6.911,0.1272,1.0000
6319529,6.374,6.540,0.0695,0.9836
6319545,6.120,3.363,0.0374,0.5057
6319987,7.151,0.371,0.1673,0.0558
6320292,6.677,4.419,0.1076,0.6647
6320390,6.558,3.811,0.0927,0.5733
6320438,8.158,0.714,0.2942,0.1074
6320446,8.375,0.625,0.3215,0.0940
6320454,7.165,0.679,0.1691,0.1021
6320462,7.165,0.679,0.1691,0.1021
6320471,7.130,0.643,0.1648,0.0967
6320489,7.617,0.722,0.2261,0.1086
6320497,6.975,0.686,0.1452,0.1031
6320501,7.074,0.651,0.1576,0.0978
6320519,7.196,0.534,0.1731,0.0804
6320527,8.317,0.639,0.3142,0.0962
6320535,7.603,0.693,0.2244,0.1042
6320543,7.603,0.693,0.2244,0.1042
6320551,7.893,0.724,0.2608,0.1089
6320560,7.701,0.688,0.2366,0.1034
6320578,8.133,0.581,0.2910,0.0874
6320586,8.133,0.581,0.2910,0.0874
6320594,7.548,0.499,0.2174,0.0750
6320608,6.889,0.496,0.1344,0.0746
6320616,7.343,0.614,0.1916,0.0923
6320624,7.095,0.594,0.1603,0.0893
6320632,7.095,0.594,0.1603,0.0893
6320641,6.958,0.533,0.1430,0.0802
6320659,6.825,0.478,0.1263,0.0718
6320667,6.997,0.490,0.1479,0.0737
6320675,6.997,0.490,0.1479,0.0737
6320853,15.935,0.000,1.0000,0.0000
6320861,7.841,0.230,0.2543,0.0346
6320900,7.587,0.808,0.2222,0.1215
6320918,7.778,0.733,0.2463,0.1103
6320926,8.686,0.734,0.3607,0.1104
6320934,7.892,0.763,0.2607,0.1147
6320942,8.618,0.742,0.3522,0.1117
6320951,8.252,0.755,0.3061,0.1135
6320969,8.252,0.755,0.3061,0.1135
6320977,8.040,0.783,0.2794,0.1177
6320985,7.985,0.817,0.2725,0.1228
6320993,7.948,0.911,0.2677,0.1371
6321001,8.070,0.914,0.2831,0.1375
6321019,7.860,0.890,0.2567,0.1338
6321027,7.771,0.883,0.2455,0.1328
6321035,8.356,0.893,0.3192,0.1342
6321043,7.632,0.857,0.2280,0.1289
6321051,7.840,0.874,0.2542,0.1315
6321060,7.317,0.816,0.1883,0.1228
6321078,6.746,0.569,0.1164,0.0856
6321086,6.724,0.735,0.1136,0.1106
6321094,6.724,0.735,0.1136,0.1106
6321108,6.695,0.656,0.1099,0.0986
6321116,6.873,0.693,0.1324,0.1042
6321124,6.873,0.693,0.1324,0.1042
6321132,7.385,0.715,0.1968,0.1075
6321141,7.772,0.795,0.2455,0.1196
6321159,8.132,0.908,0.2909,0.1365
6321167,8.643,0.951,0.3554,0.1431
6321175,8.890,0.948,0.3864,0.1426
6321183,8.890,0.948,0.3864,0.1426
6321191,9.552,0.937,0.4698,0.1410
6321205,8.804,0.951,0.3756,0.1430
6321213,9.164,0.940,0.4209,0.1414
6321221,8.392,0.942,0.3237,0.1417
6321230,9.337,0.922,0.4427,0.1387
6321329,8.998,0.054,0.4000,0.0082
6321477,11.499,0.000,0.7150,0.0000
6321523,7.507,0.481,0.2122,0.0724
6321574,6.561,1.034,0.0931,0.1556
6321965,5.893,5.652,0.0089,0.8500
6321973,7.014,1.960,0.1501,0.2948
6321981,8.734,2.327,0.3667,0.3500
6321990,6.994,2.991,0.1476,0.4499
6322007,9.959,2.210,0.5211,0.3324
6322015,6.811,2.346,0.1245,0.3529
6322040,9.495,0.409,0.4626,0.0616
6322261,12.181,0.000,0.8010,0.0000
6322279,6.738,2.183,0.1153,0.3283
6322287,10.674,0.000,0.6112,0.0000
6322651,13.228,0.000,0.9328,0.0000
6322686,9.772,0.766,0.4975,0.1152
6322970,12.568,0.000,0.8497,0.0000
6323275,11.686,0.000,0.7386,0.0000
6323283,10.539,0.000,0.5941,0.0000
6323291,8.707,0.035,0.3633,0.0053
6323305,8.103,0.154,0.2873,0.0232
6323313,11.940,0.000,0.7706,0.0000
6323321,9.148,0.059,0.4190,0.0088
6323330,7.189,0.258,0.1722,0.0387
6323861,11.712,0.004,0.7419,0.0005
6323925,7.796,0.597,0.2486,0.0898
6324000,7.248,2.685,0.1796,0.4038
6324018,7.287,2.939,0.1845,0.4421
6324115,9.744,1.028,0.4940,0.1547
6324751,7.035,2.084,0.1527,0.3134
6324956,8.610,1.885,0.3511,0.2834
6325031,8.590,4.671,0.3486,0.7026
6325049,8.106,0.374,0.2877,0.0562
6325103,5.972,5.309,0.0188,0.7985
6325359,8.046,0.724,0.2801,0.1089
6325367,11.165,0.000,0.6729,0.0000
6325570,14.239,0.000,1.0000,0.0000
6325596,9.757,0.000,0.4956,0.0000
6325715,6.567,4.436,0.0938,0.6671
6325766,7.383,0.227,0.1965,0.0342
6326037,7.063,0.417,0.1562,0.0627
6326096,10.208,0.415,0.5525,0.0624
6326169,6.703,0.617,0.1109,0.0928
6326177,8.727,0.019,0.3659,0.0029
6326185,6.522,2.874,0.0881,0.4322
6326444,7.496,1.847,0.2108,0.2778
6326479,6.174,2.165,0.0443,0.3256
6326606,9.718,0.138,0.4907,0.0208
6326649,9.552,0.000,0.4699,0.0000
6326673,11.134,0.000,0.6691,0.0000
6326690,14.949,0.000,1.0000,0.0000
6326703,11.565,0.709,0.7233,0.1066
6326711,8.619,3.350,0.3523,0.5039
6326720,11.671,0.039,0.7368,0.0059
6326738,8.691,2.089,0.3613,0.3142
6326819,7.492,0.876,0.2103,0.1317
6327734,6.348,0.736,0.0662,0.1107
6328544,9.012,4.037,0.4018,0.6072
6328587,5.637,5.519,0.0000,0.8300
6328633,11.820,0.000,0.7556,0.0000
6328641,9.686,0.119,0.4866,0.0179
6328790,10.431,0.002,0.5805,0.0004
6328803,8.903,0.473,0.3880,0.0711
6328838,7.708,0.475,0.2375,0.0715
6328846,8.505,0.669,0.3379,0.1006
6328854,10.122,0.042,0.5417,0.0064
6328862,9.454,0.078,0.4574,0.0117
6328889,7.058,2.357,0.1556,0.3544
6328897,12.610,0.000,0.8551,0.0000
6328927,10.781,0.000,0.6247,0.0000
6328943,8.638,0.685,0.3546,0.1030
6329176,7.901,0.245,0.2618,0.0368
6329184,7.660,0.166,0.2314,0.0249
6329192,7.997,0.064,0.2739,0.0097
6329206,7.664,2.945,0.2319,0.4430
6329257,7.576,1.097,0.2208,0.1650
6329265,12.025,0.000,0.7813,0.0000
6329303,9.299,0.104,0.4379,0.0156
6329320,9.536,0.909,0.4677,0.1366
6329346,8.986,0.573,0.3985,0.0861
6329354,11.835,0.060,0.7573,0.0090
6329362,9.668,0.011,0.4844,0.0016
6329397,7.905,3.277,0.2623,0.4929
6329401,6.838,1.397,0.1279,0.2101
6329419,7.360,0.849,0.1937,0.1277
6329427,8.222,0.936,0.3023,0.1408
6329435,9.030,1.250,0.4041,0.1879
6329443,7.047,0.931,0.1542,0.1400
6329451,6.452,1.148,0.0793,0.1726
6329460,6.777,1.745,0.1202,0.2624
6329478,6.859,1.833,0.1305,0.2757
6329486,6.883,2.035,0.1336,0.3061
6329494,7.033,2.136,0.1525,0.3212
6329508,7.343,2.151,0.1916,0.3235
6329516,7.426,2.122,0.2020,0.3191
6329524,6.846,1.389,0.1290,0.2089
6329532,7.197,1.134,0.1731,0.1705
6329541,7.284,1.528,0.1841,0.2298
6329559,7.463,1.773,0.2067,0.2667
6329567,7.258,2.249,0.1808,0.3383
6329575,7.440,2.228,0.2037,0.3351
6329583,7.284,2.148,0.1841,0.3231
6329591,7.438,2.129,0.2035,0.3202
6329605,9.267,1.916,0.4339,0.2882
6329613,8.159,2.004,0.2943,0.3014
6329621,8.290,1.963,0.3108,0.2952
6329630,8.322,1.916,0.3148,0.2882
